GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmInicioSesion,683,0,6,0,153,0,8,0,5,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelDatosProducto.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaCompras.new DefaultTableModel() {...},21,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaCompras.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelDatosProducto.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmInicioSesion.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmMenuInicio,368,0,4,0,89,0,8,0,6,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmInicioSesion.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmInicioSesion.new MouseAdapter() {...},32,0,0,0,9,0,4,0,4,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaCompras.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos,989,0,22,0,189,0,25,0,14,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmMenuInicio.new MouseAdapter() {...},27,0,0,0,8,0,4,0,4,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmRegistrarse.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelNombreLista.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmRegistrarse.new MouseAdapter() {...},32,0,0,0,9,0,4,0,4,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmRegistrarse.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelDatosProducto,819,0,24,0,178,0,22,0,10,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaCompras,616,0,14,0,123,0,14,0,7,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new DefaultTableCellRenderer() {...},53,0,8,0,12,0,6,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new DefaultTableModel() {...},42,0,8,0,10,0,7,0,3,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new MouseAdapter() {...},114,0,6,0,17,0,5,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelNombreLista,308,0,6,0,71,0,6,0,3,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,panelListaProductos.new DefaultTableModel() {...},58,0,0,0,5,0,3,0,3,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,PantallaInicial.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,PantallaInicial.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,PantallaInicial.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,PantallaInicial,428,0,4,0,95,0,7,0,5,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.presentacion,frmRegistrarse,940,0,10,0,200,0,10,0,5,0
ListaCompraPresentacion,org.itson.pruebas.listacomprapresentacion.validadores,Validadores,53,0,0,0,16,0,6,0,6,0
